7898524348639|ATIVADOR  CACH.S.L|000000000000000020.2
7898524345096|ATIVADOR CACH.S.LI|000000000000000020.2
7896058204872|AYMORE BISC MAIZEN|000000000000000002.9
7790070218216|AZEITE CORCI 500ML|000000000000000049.9
7897534812659|AZULIM DILUIVEL LA|000000000000000008.3
7897534807020|AZULIM LIMP CER E |000000000000000015.5
7897077820739|BARRA  HARALD CONF|000000000000000021.4
7896058255065|BISC.REC CHOCOLATE|000000000000000002.7
7896550200105|CAFE CUCA  ALM 250|000000000000000016.7
7896020470120|COLA THREE BOND S.|000000000000000006.2
7891155059592|COPO LAGER 200 ML |000000000000000004.4
7891150066793|DESINF PO SURF LAV|000000000000000007.9
7898341430074|DV MAIS  MARACUJA |000000000000000006.5
7896418601570|EST.OVOS BCO KIDS |000000000000000010.4
0000000114561|FRUTA UVA ROSADA B|000000000000000010.5
7899653779318|GARFO DE MESA EURO|000000000000000005.3
7896327514114|GELATINA  APTI VIT|000000000000000001.4
7890732316233|HAVAIANA  SLIM BRA|000000000000000032.0
0000078914957|HID PAIXAO  200ML |000000000000000011.8
7500435128445|KIT PANTENE HIDRO |000000000000000033.0
7891000248768|KIT-KAT LEITE  41 |000000000000000004.7
7893000437104|MOELA FRANGO BDJ S|000000000000000017.2
7893000084315|MUSSARELA FATIADA |000000000000000013.1
7897807416430|PORTA GUARDANAPO 1|000000000000000018.9
7891691004629|POTE QUADRADO 1 3 |000000000000000013.9
7891155043867|PRATO FUNDO 22CMS |000000000000000006.3
7896071018999|REF REFRESKANTE MA|000000000000000001.5
7898949352440|REFRI GOOB UVA 250|000000000000000001.2
